Player1,Player2,Relationship
Hawthorn Hill,Beacon of Life,1
Hope Ministries,Beacon of Life,1
HOME Inc.,Beacon of Life,1
House of Mercy,Beacon of Life,2
Iowa Coalition Against Domestic Violence,Beacon of Life,0
Iowa Coalition agains Sexual Assault,Beacon of Life,0
IFA,Beacon of Life,1
Iowa Legal Aid,Beacon of Life,0
Iowa HCR,Beacon of Life,0
Latinas Unidas,Beacon of Life,0
LSI,Beacon of Life,1
Monsoon,Beacon of Life,0
NFC,Beacon of Life,0
Neighborhood Associations,Beacon of Life,0
Primary HC,Beacon of Life,1
PCHTF,Beacon of Life,0
PCHC,Beacon of Life,2
Rebuilding,Beacon of Life,0
The Tomorrow Plan,Beacon of Life,0
USCRI,Beacon of Life,0
United Way,Beacon of Life,2
Urban Dreams,Beacon of Life,0
YMCA,Beacon of Life,0
YESS,Beacon of Life,1
Capax Infiniti,Bridges of Iowa,0
Catholic Charities,Bridges of Iowa,0
Central Iowa Regional Housing Authority,Bridges of Iowa,0
CISS,Bridges of Iowa,0
CHI,Bridges of Iowa,0
CFI,Bridges of Iowa,0
DSM CAA,Bridges of Iowa,0
DSM Housing Services,Bridges of Iowa,0
DSM Comm. Dev,Bridges of Iowa,0
DSM Nghr Cons. Srvs,Bridges of Iowa,0
WDM,Bridges of Iowa,0
Clive ,Bridges of Iowa,0
Windsor Heights,Bridges of Iowa,0
CommonBond,Bridges of Iowa,0
DSM HRC,Bridges of Iowa,0
DSM Neighbors,Bridges of Iowa,0
Eyerly Ball,Bridges of Iowa,0
GDM HfH,Bridges of Iowa,0
G DSM Partnership/ Cap Crossroads,Bridges of Iowa,0
Hawthorn Hill,Bridges of Iowa,0
Hope Ministries,Bridges of Iowa,0
HOME Inc.,Bridges of Iowa,0
House of Mercy,Bridges of Iowa,0
Iowa Coalition Against Domestic Violence,Bridges of Iowa,0
Iowa Coalition agains Sexual Assault,Bridges of Iowa,0
IFA,Bridges of Iowa,0
Iowa Legal Aid,Bridges of Iowa,0
Iowa HCR,Bridges of Iowa,0
Latinas Unidas,Bridges of Iowa,0
LSI,Bridges of Iowa,0
Monsoon,Bridges of Iowa,0
NFC,Bridges of Iowa,0
Neighborhood Associations,Bridges of Iowa,0
Primary HC,Bridges of Iowa,0
PCHTF,Bridges of Iowa,1
PCHC,Bridges of Iowa,0
Rebuilding,Bridges of Iowa,0
The Tomorrow Plan,Bridges of Iowa,0
USCRI,Bridges of Iowa,0
United Way,Bridges of Iowa,0
Urban Dreams,Bridges of Iowa,0
YMCA,Bridges of Iowa,1
YESS,Bridges of Iowa,0
Catholic Charities,Capax Infinity,0
Central Iowa Regional Housing Authority,Capax Infinity,0
CISS,Capax Infinity,1
CHI,Capax Infinity,0
CFI,Capax Infinity,0
DSM CAA,Capax Infinity,0
DSM Housing Services,Capax Infinity,0
DSM Comm. Dev,Capax Infinity,0
DSM Nghr Cons. Srvs,Capax Infinity,0
WDM,Capax Infinity,0
Clive ,Capax Infinity,0
Windsor Heights,Capax Infinity,0
CommonBond,Capax Infinity,0
DSM HRC,Capax Infinity,0
DSM Neighbors,Capax Infinity,0
Eyerly Ball,Capax Infinity,0
GDM HfH,Capax Infinity,0
G DSM Partnership/ Cap Crossroads,Capax Infinity,0
Hawthorn Hill,Capax Infinity,1
Hope Ministries,Capax Infinity,0
HOME Inc.,Capax Infinity,0
House of Mercy,Capax Infinity,0
Iowa Coalition Against Domestic Violence,Capax Infinity,0
Iowa Coalition agains Sexual Assault,Capax Infinity,0
IFA,Capax Infinity,0
Iowa Legal Aid,Capax Infinity,0
Iowa HCR,Capax Infinity,0
Latinas Unidas,Capax Infinity,0
LSI,Capax Infinity,0
Monsoon,Capax Infinity,0
NFC,Capax Infinity,0
Neighborhood Associations,Capax Infinity,0
Primary HC,Capax Infinity,1
PCHTF,Capax Infinity,0
PCHC,Capax Infinity,0
Rebuilding,Capax Infinity,0
The Tomorrow Plan,Capax Infinity,0
USCRI,Capax Infinity,0
United Way,Capax Infinity,0
Urban Dreams,Capax Infinity,0
YMCA,Capax Infinity,1
YESS,Capax Infinity,0
Central Iowa Regional Housing Authority,Catholic Charities,0
CISS,Catholic Charities,1
CHI,Catholic Charities,0
CFI,Catholic Charities,1
DSM CAA,Catholic Charities,2
DSM Housing Services,Catholic Charities,1
DSM Comm. Dev,Catholic Charities,2
DSM Nghr Cons. Srvs,Catholic Charities,1
WDM,Catholic Charities,0
Clive ,Catholic Charities,0
Windsor Heights,Catholic Charities,0
CommonBond,Catholic Charities,0
DSM HRC,Catholic Charities,0
DSM Neighbors,Catholic Charities,0
Eyerly Ball,Catholic Charities,1
GDM HfH,Catholic Charities,0
G DSM Partnership/ Cap Crossroads,Catholic Charities,0
Hawthorn Hill,Catholic Charities,2
Hope Ministries,Catholic Charities,0
HOME Inc.,Catholic Charities,1
House of Mercy,Catholic Charities,0
Iowa Coalition Against Domestic Violence,Catholic Charities,0
Iowa Coalition agains Sexual Assault,Catholic Charities,0
IFA,Catholic Charities,2
Iowa Legal Aid,Catholic Charities,0
Iowa HCR,Catholic Charities,0
Latinas Unidas,Catholic Charities,0
LSI,Catholic Charities,2
Monsoon,Catholic Charities,2
NFC,Catholic Charities,0
Neighborhood Associations,Catholic Charities,0
Primary HC,Catholic Charities,1
PCHTF,Catholic Charities,1
PCHC,Catholic Charities,2
Rebuilding,Catholic Charities,0
The Tomorrow Plan,Catholic Charities,0
USCRI,Catholic Charities,2
United Way,Catholic Charities,2
Urban Dreams,Catholic Charities,0
YMCA,Catholic Charities,1
YESS,Catholic Charities,0
CISS,Central Iowa Regional Housing Authority,1
CHI,Central Iowa Regional Housing Authority,0
CFI,Central Iowa Regional Housing Authority,0
DSM CAA,Central Iowa Regional Housing Authority,0
DSM Housing Services,Central Iowa Regional Housing Authority,0
DSM Comm. Dev,Central Iowa Regional Housing Authority,0
DSM Nghr Cons. Srvs,Central Iowa Regional Housing Authority,0
WDM,Central Iowa Regional Housing Authority,0
Clive ,Central Iowa Regional Housing Authority,0
Windsor Heights,Central Iowa Regional Housing Authority,0
CommonBond,Central Iowa Regional Housing Authority,0
DSM HRC,Central Iowa Regional Housing Authority,0
DSM Neighbors,Central Iowa Regional Housing Authority,0
Eyerly Ball,Central Iowa Regional Housing Authority,0
GDM HfH,Central Iowa Regional Housing Authority,0
G DSM Partnership/ Cap Crossroads,Central Iowa Regional Housing Authority,0
Hawthorn Hill,Central Iowa Regional Housing Authority,1
Hope Ministries,Central Iowa Regional Housing Authority,0
HOME Inc.,Central Iowa Regional Housing Authority,1
House of Mercy,Central Iowa Regional Housing Authority,0
Iowa Coalition Against Domestic Violence,Central Iowa Regional Housing Authority,0
Iowa Coalition agains Sexual Assault,Central Iowa Regional Housing Authority,0
IFA,Central Iowa Regional Housing Authority,0
Iowa Legal Aid,Central Iowa Regional Housing Authority,0
Iowa HCR,Central Iowa Regional Housing Authority,0
Latinas Unidas,Central Iowa Regional Housing Authority,0
LSI,Central Iowa Regional Housing Authority,0
Monsoon,Central Iowa Regional Housing Authority,0
NFC,Central Iowa Regional Housing Authority,0
Neighborhood Associations,Central Iowa Regional Housing Authority,0
Primary HC,Central Iowa Regional Housing Authority,1
PCHTF,Central Iowa Regional Housing Authority,0
PCHC,Central Iowa Regional Housing Authority,0
Rebuilding,Central Iowa Regional Housing Authority,0
The Tomorrow Plan,Central Iowa Regional Housing Authority,0
USCRI,Central Iowa Regional Housing Authority,0
United Way,Central Iowa Regional Housing Authority,0
Urban Dreams,Central Iowa Regional Housing Authority,0
YMCA,Central Iowa Regional Housing Authority,0
YESS,Central Iowa Regional Housing Authority,0
CHI,CISS,1
CFI,CISS,1
DSM CAA,CISS,2
DSM Housing Services,CISS,1
DSM Comm. Dev,CISS,1
DSM Nghr Cons. Srvs,CISS,1
WDM,CISS,0
Clive ,CISS,1
Windsor Heights,CISS,0
CommonBond,CISS,0
DSM HRC,CISS,0
DSM Neighbors,CISS,0
Eyerly Ball,CISS,1
GDM HfH,CISS,1
G DSM Partnership/ Cap Crossroads,CISS,1
Hawthorn Hill,CISS,1
Hope Ministries,CISS,1
HOME Inc.,CISS,1
House of Mercy,CISS,1
Iowa Coalition Against Domestic Violence,CISS,1
Iowa Coalition agains Sexual Assault,CISS,0
IFA,CISS,1
Iowa Legal Aid,CISS,1
Iowa HCR,CISS,1
Latinas Unidas,CISS,0
LSI,CISS,1
Monsoon,CISS,1
NFC,CISS,1
Neighborhood Associations,CISS,1
Primary HC,CISS,2
PCHTF,CISS,1
PCHC,CISS,1
Rebuilding,CISS,1
The Tomorrow Plan,CISS,1
USCRI,CISS,0
United Way,CISS,1
Urban Dreams,CISS,0
YMCA,CISS,1
YESS,CISS,1
CFI,CHI,0
DSM CAA,CHI,0
DSM Housing Services,CHI,0
DSM Comm. Dev,CHI,1
DSM Nghr Cons. Srvs,CHI,1
WDM,CHI,0
Clive ,CHI,0
Windsor Heights,CHI,0
CommonBond,CHI,0
DSM HRC,CHI,0
DSM Neighbors,CHI,0
Eyerly Ball,CHI,0
GDM HfH,CHI,0
G DSM Partnership/ Cap Crossroads,CHI,0
Hawthorn Hill,CHI,1
Hope Ministries,CHI,0
HOME Inc.,CHI,1
House of Mercy,CHI,0
Iowa Coalition Against Domestic Violence,CHI,0
Iowa Coalition agains Sexual Assault,CHI,0
IFA,CHI,2
Iowa Legal Aid,CHI,0
Iowa HCR,CHI,0
Latinas Unidas,CHI,0
LSI,CHI,0
Monsoon,CHI,0
NFC,CHI,2
Neighborhood Associations,CHI,0
Primary HC,CHI,0
PCHTF,CHI,2
PCHC,CHI,0
Rebuilding,CHI,1
The Tomorrow Plan,CHI,0
USCRI,CHI,0
United Way,CHI,0
Urban Dreams,CHI,0
YMCA,CHI,0
YESS,CHI,0
DSM CAA,CFI,2
DSM Housing Services,CFI,0
DSM Comm. Dev,CFI,2
DSM Nghr Cons. Srvs,CFI,2
WDM,CFI,0
Clive ,CFI,0
Windsor Heights,CFI,0
CommonBond,CFI,0
DSM HRC,CFI,0
DSM Neighbors,CFI,0
Eyerly Ball,CFI,0
GDM HfH,CFI,1
G DSM Partnership/ Cap Crossroads,CFI,0
Hawthorn Hill,CFI,1
Hope Ministries,CFI,0
HOME Inc.,CFI,1
House of Mercy,CFI,0
Iowa Coalition Against Domestic Violence,CFI,0
Iowa Coalition agains Sexual Assault,CFI,0
IFA,CFI,0
Iowa Legal Aid,CFI,0
Iowa HCR,CFI,0
Latinas Unidas,CFI,0
LSI,CFI,0
Monsoon,CFI,0
NFC,CFI,0
Neighborhood Associations,CFI,0
Primary HC,CFI,1
PCHTF,CFI,1
PCHC,CFI,1
Rebuilding,CFI,0
The Tomorrow Plan,CFI,0
USCRI,CFI,1
United Way,CFI,0
Urban Dreams,CFI,0
YMCA,CFI,1
YESS,CFI,0
DSM Housing Services,DSM CAA,2
DSM Comm. Dev,DSM CAA,2
DSM Nghr Cons. Srvs,DSM CAA,2
WDM,DSM CAA,0
Clive ,DSM CAA,0
Windsor Heights,DSM CAA,0
CommonBond,DSM CAA,2
DSM HRC,DSM CAA,1
DSM Neighbors,DSM CAA,2
Eyerly Ball,DSM CAA,0
GDM HfH,DSM CAA,2
G DSM Partnership/ Cap Crossroads,DSM CAA,2
Hawthorn Hill,DSM CAA,2
Hope Ministries,DSM CAA,2
HOME Inc.,DSM CAA,2
House of Mercy,DSM CAA,2
Iowa Coalition Against Domestic Violence,DSM CAA,0
Iowa Coalition agains Sexual Assault,DSM CAA,0
IFA,DSM CAA,2
Iowa Legal Aid,DSM CAA,1
Iowa HCR,DSM CAA,0
Latinas Unidas,DSM CAA,0
LSI,DSM CAA,0
Monsoon,DSM CAA,0
NFC,DSM CAA,2
Neighborhood Associations,DSM CAA,2
Primary HC,DSM CAA,2
PCHTF,DSM CAA,1
PCHC,DSM CAA,1
Rebuilding,DSM CAA,2
The Tomorrow Plan,DSM CAA,2
USCRI,DSM CAA,0
United Way,DSM CAA,1
Urban Dreams,DSM CAA,1
YMCA,DSM CAA,2
YESS,DSM CAA,2
DSM Comm. Dev,DSM Housing Services,2
DSM Nghr Cons. Srvs,DSM Housing Services,2
WDM,DSM Housing Services,2
Clive ,DSM Housing Services,2
Windsor Heights,DSM Housing Services,2
CommonBond,DSM Housing Services,2
DSM HRC,DSM Housing Services,2
DSM Neighbors,DSM Housing Services,1
Eyerly Ball,DSM Housing Services,1
GDM HfH,DSM Housing Services,0
G DSM Partnership/ Cap Crossroads,DSM Housing Services,2
Hawthorn Hill,DSM Housing Services,1
Hope Ministries,DSM Housing Services,1
HOME Inc.,DSM Housing Services,1
House of Mercy,DSM Housing Services,1
Iowa Coalition Against Domestic Violence,DSM Housing Services,1
Iowa Coalition agains Sexual Assault,DSM Housing Services,1
IFA,DSM Housing Services,1
Iowa Legal Aid,DSM Housing Services,1
Iowa HCR,DSM Housing Services,1
Latinas Unidas,DSM Housing Services,1
LSI,DSM Housing Services,1
Monsoon,DSM Housing Services,1
NFC,DSM Housing Services,1
Neighborhood Associations,DSM Housing Services,1
Primary HC,DSM Housing Services,2
PCHTF,DSM Housing Services,2
PCHC,DSM Housing Services,2
Rebuilding,DSM Housing Services,2
The Tomorrow Plan,DSM Housing Services,2
USCRI,DSM Housing Services,1
United Way,DSM Housing Services,1
Urban Dreams,DSM Housing Services,1
YMCA,DSM Housing Services,1
YESS,DSM Housing Services,1
DSM Nghr Cons. Srvs,DSM Comm. Dev,2
WDM,DSM Comm. Dev,0
Clive ,DSM Comm. Dev,0
Windsor Heights,DSM Comm. Dev,0
CommonBond,DSM Comm. Dev,2
DSM HRC,DSM Comm. Dev,1
DSM Neighbors,DSM Comm. Dev,2
Eyerly Ball,DSM Comm. Dev,0
GDM HfH,DSM Comm. Dev,1
G DSM Partnership/ Cap Crossroads,DSM Comm. Dev,2
Hawthorn Hill,DSM Comm. Dev,2
Hope Ministries,DSM Comm. Dev,2
HOME Inc.,DSM Comm. Dev,2
House of Mercy,DSM Comm. Dev,2
Iowa Coalition Against Domestic Violence,DSM Comm. Dev,0
Iowa Coalition agains Sexual Assault,DSM Comm. Dev,0
IFA,DSM Comm. Dev,2
Iowa Legal Aid,DSM Comm. Dev,1
Iowa HCR,DSM Comm. Dev,0
Latinas Unidas,DSM Comm. Dev,0
LSI,DSM Comm. Dev,0
Monsoon,DSM Comm. Dev,0
NFC,DSM Comm. Dev,2
Neighborhood Associations,DSM Comm. Dev,2
Primary HC,DSM Comm. Dev,1
PCHTF,DSM Comm. Dev,2
PCHC,DSM Comm. Dev,1
Rebuilding,DSM Comm. Dev,2
The Tomorrow Plan,DSM Comm. Dev,2
USCRI,DSM Comm. Dev,0
United Way,DSM Comm. Dev,1
Urban Dreams,DSM Comm. Dev,1
YMCA,DSM Comm. Dev,1
YESS,DSM Comm. Dev,2
WDM,DSM Nghr Cons. Srvs,0
Clive ,DSM Nghr Cons. Srvs,0
Windsor Heights,DSM Nghr Cons. Srvs,0
CommonBond,DSM Nghr Cons. Srvs,2
DSM HRC,DSM Nghr Cons. Srvs,1
DSM Neighbors,DSM Nghr Cons. Srvs,2
Eyerly Ball,DSM Nghr Cons. Srvs,0
GDM HfH,DSM Nghr Cons. Srvs,1
G DSM Partnership/ Cap Crossroads,DSM Nghr Cons. Srvs,2
Hawthorn Hill,DSM Nghr Cons. Srvs,2
Hope Ministries,DSM Nghr Cons. Srvs,2
HOME Inc.,DSM Nghr Cons. Srvs,2
House of Mercy,DSM Nghr Cons. Srvs,2
Iowa Coalition Against Domestic Violence,DSM Nghr Cons. Srvs,0
Iowa Coalition agains Sexual Assault,DSM Nghr Cons. Srvs,0
IFA,DSM Nghr Cons. Srvs,2
Iowa Legal Aid,DSM Nghr Cons. Srvs,1
Iowa HCR,DSM Nghr Cons. Srvs,0
Latinas Unidas,DSM Nghr Cons. Srvs,0
LSI,DSM Nghr Cons. Srvs,0
Monsoon,DSM Nghr Cons. Srvs,0
NFC,DSM Nghr Cons. Srvs,2
Neighborhood Associations,DSM Nghr Cons. Srvs,2
Primary HC,DSM Nghr Cons. Srvs,1
PCHTF,DSM Nghr Cons. Srvs,0
PCHC,DSM Nghr Cons. Srvs,1
Rebuilding,DSM Nghr Cons. Srvs,2
The Tomorrow Plan,DSM Nghr Cons. Srvs,2
USCRI,DSM Nghr Cons. Srvs,0
United Way,DSM Nghr Cons. Srvs,1
Urban Dreams,DSM Nghr Cons. Srvs,1
YMCA,DSM Nghr Cons. Srvs,1
YESS,DSM Nghr Cons. Srvs,2
Clive ,WDM,0
Windsor Heights,WDM,0
CommonBond,WDM,0
DSM HRC,WDM,0
DSM Neighbors,WDM,0
Eyerly Ball,WDM,0
GDM HfH,WDM,0
G DSM Partnership/ Cap Crossroads,WDM,0
Hawthorn Hill,WDM,1
Hope Ministries,WDM,0
HOME Inc.,WDM,2
House of Mercy,WDM,0
Iowa Coalition Against Domestic Violence,WDM,0
Iowa Coalition agains Sexual Assault,WDM,0
IFA,WDM,0
Iowa Legal Aid,WDM,0
Iowa HCR,WDM,0
Latinas Unidas,WDM,0
LSI,WDM,0
Monsoon,WDM,0
NFC,WDM,2
Neighborhood Associations,WDM,0
Primary HC,WDM,1
PCHTF,WDM,2
PCHC,WDM,1
Rebuilding,WDM,0
The Tomorrow Plan,WDM,0
USCRI,WDM,0
United Way,WDM,0
Urban Dreams,WDM,0
YMCA,WDM,0
YESS,WDM,0
Windsor Heights,Clive,0
CommonBond,Clive,0
DSM HRC,Clive,0
DSM Neighbors,Clive,0
Eyerly Ball,Clive,0
GDM HfH,Clive,0
G DSM Partnership/ Cap Crossroads,Clive,0
Hawthorn Hill,Clive,0
Hope Ministries,Clive,0
HOME Inc.,Clive,1
House of Mercy,Clive,0
Iowa Coalition Against Domestic Violence,Clive,0
Iowa Coalition agains Sexual Assault,Clive,0
IFA,Clive,0
Iowa Legal Aid,Clive,0
Iowa HCR,Clive,0
Latinas Unidas,Clive,0
LSI,Clive,0
Monsoon,Clive,0
NFC,Clive,0
Neighborhood Associations,Clive,0
Primary HC,Clive,0
PCHTF,Clive,2
PCHC,Clive,0
Rebuilding,Clive,0
The Tomorrow Plan,Clive,0
USCRI,Clive,0
United Way,Clive,0
Urban Dreams,Clive,0
YMCA,Clive,0
YESS,Clive,0
CommonBond,Windsor Heights,0
DSM HRC,Windsor Heights,0
DSM Neighbors,Windsor Heights,0
Eyerly Ball,Windsor Heights,0
GDM HfH,Windsor Heights,0
G DSM Partnership/ Cap Crossroads,Windsor Heights,0
Hawthorn Hill,Windsor Heights,0
Hope Ministries,Windsor Heights,0
HOME Inc.,Windsor Heights,1
House of Mercy,Windsor Heights,0
Iowa Coalition Against Domestic Violence,Windsor Heights,0
Iowa Coalition agains Sexual Assault,Windsor Heights,0
IFA,Windsor Heights,0
Iowa Legal Aid,Windsor Heights,0
Iowa HCR,Windsor Heights,0
Latinas Unidas,Windsor Heights,0
LSI,Windsor Heights,0
Monsoon,Windsor Heights,0
NFC,Windsor Heights,2
Neighborhood Associations,Windsor Heights,0
Primary HC,Windsor Heights,0
PCHTF,Windsor Heights,2
PCHC,Windsor Heights,0
Rebuilding,Windsor Heights,0
The Tomorrow Plan,Windsor Heights,0
USCRI,Windsor Heights,0
United Way,Windsor Heights,0
Urban Dreams,Windsor Heights,0
YMCA,Windsor Heights,0
YESS,Windsor Heights,0
DSM HRC,CommonBond,0
DSM Neighbors,CommonBond,0
Eyerly Ball,CommonBond,0
GDM HfH,CommonBond,0
G DSM Partnership/ Cap Crossroads,CommonBond,0
Hawthorn Hill,CommonBond,0
Hope Ministries,CommonBond,0
HOME Inc.,CommonBond,0
House of Mercy,CommonBond,0
Iowa Coalition Against Domestic Violence,CommonBond,0
Iowa Coalition agains Sexual Assault,CommonBond,0
IFA,CommonBond,0
Iowa Legal Aid,CommonBond,0
Iowa HCR,CommonBond,0
Latinas Unidas,CommonBond,0
LSI,CommonBond,0
Monsoon,CommonBond,0
NFC,CommonBond,2
Neighborhood Associations,CommonBond,0
Primary HC,CommonBond,1
PCHTF,CommonBond,0
PCHC,CommonBond,0
Rebuilding,CommonBond,0
The Tomorrow Plan,CommonBond,0
USCRI,CommonBond,0
United Way,CommonBond,0
Urban Dreams,CommonBond,0
YMCA,CommonBond,0
YESS,CommonBond,0
DSM Neighbors,DSM HRC,0
Eyerly Ball,DSM HRC,0
GDM HfH,DSM HRC,0
G DSM Partnership/ Cap Crossroads,DSM HRC,0
Hawthorn Hill,DSM HRC,0
Hope Ministries,DSM HRC,0
HOME Inc.,DSM HRC,1
House of Mercy,DSM HRC,0
Iowa Coalition Against Domestic Violence,DSM HRC,0
Iowa Coalition agains Sexual Assault,DSM HRC,0
IFA,DSM HRC,0
Iowa Legal Aid,DSM HRC,0
Iowa HCR,DSM HRC,0
Latinas Unidas,DSM HRC,0
LSI,DSM HRC,0
Monsoon,DSM HRC,0
NFC,DSM HRC,0
Neighborhood Associations,DSM HRC,0
Primary HC,DSM HRC,1
PCHTF,DSM HRC,0
PCHC,DSM HRC,0
Rebuilding,DSM HRC,0
The Tomorrow Plan,DSM HRC,0
USCRI,DSM HRC,1
United Way,DSM HRC,0
Urban Dreams,DSM HRC,0
YMCA,DSM HRC,0
YESS,DSM HRC,0
Eyerly Ball,DSM Neighbors,0
GDM HfH,DSM Neighbors,0
G DSM Partnership/ Cap Crossroads,DSM Neighbors,0
Hawthorn Hill,DSM Neighbors,0
Hope Ministries,DSM Neighbors,0
HOME Inc.,DSM Neighbors,1
House of Mercy,DSM Neighbors,0
Iowa Coalition Against Domestic Violence,DSM Neighbors,0
Iowa Coalition agains Sexual Assault,DSM Neighbors,0
IFA,DSM Neighbors,0
Iowa Legal Aid,DSM Neighbors,0
Iowa HCR,DSM Neighbors,0
Latinas Unidas,DSM Neighbors,0
LSI,DSM Neighbors,0
Monsoon,DSM Neighbors,0
NFC,DSM Neighbors,1
Neighborhood Associations,DSM Neighbors,0
Primary HC,DSM Neighbors,1
PCHTF,DSM Neighbors,0
PCHC,DSM Neighbors,0
Rebuilding,DSM Neighbors,0
The Tomorrow Plan,DSM Neighbors,0
USCRI,DSM Neighbors,0
United Way,DSM Neighbors,0
Urban Dreams,DSM Neighbors,0
YMCA,DSM Neighbors,0
YESS,DSM Neighbors,0
GDM HfH,Eyerly Ball,0
G DSM Partnership/ Cap Crossroads,Eyerly Ball,0
Hawthorn Hill,Eyerly Ball,0
Hope Ministries,Eyerly Ball,0
HOME Inc.,Eyerly Ball,1
House of Mercy,Eyerly Ball,0
Iowa Coalition Against Domestic Violence,Eyerly Ball,0
Iowa Coalition agains Sexual Assault,Eyerly Ball,0
IFA,Eyerly Ball,0
Iowa Legal Aid,Eyerly Ball,0
Iowa HCR,Eyerly Ball,0
Latinas Unidas,Eyerly Ball,0
LSI,Eyerly Ball,0
Monsoon,Eyerly Ball,0
NFC,Eyerly Ball,0
Neighborhood Associations,Eyerly Ball,0
Primary HC,Eyerly Ball,1
PCHTF,Eyerly Ball,0
PCHC,Eyerly Ball,0
Rebuilding,Eyerly Ball,0
The Tomorrow Plan,Eyerly Ball,0
USCRI,Eyerly Ball,0
United Way,Eyerly Ball,0
Urban Dreams,Eyerly Ball,0
YMCA,Eyerly Ball,2
YESS,Eyerly Ball,0
G DSM Partnership/ Cap Crossroads,GDM HfH,0
Hawthorn Hill,GDM HfH,1
Hope Ministries,GDM HfH,1
HOME Inc.,GDM HfH,2
House of Mercy,GDM HfH,0
Iowa Coalition Against Domestic Violence,GDM HfH,1
Iowa Coalition agains Sexual Assault,GDM HfH,0
IFA,GDM HfH,0
Iowa Legal Aid,GDM HfH,1
Iowa HCR,GDM HfH,0
Latinas Unidas,GDM HfH,0
LSI,GDM HfH,0
Monsoon,GDM HfH,0
NFC,GDM HfH,1
Neighborhood Associations,GDM HfH,1
Primary HC,GDM HfH,1
PCHTF,GDM HfH,2
PCHC,GDM HfH,1
Rebuilding,GDM HfH,2
The Tomorrow Plan,GDM HfH,0
USCRI,GDM HfH,1
United Way,GDM HfH,2
Urban Dreams,GDM HfH,1
YMCA,GDM HfH,0
YESS,GDM HfH,0
Hawthorn Hill,G DSM Partnership/ Cap Crossroads,0
Hope Ministries,G DSM Partnership/ Cap Crossroads,0
HOME Inc.,G DSM Partnership/ Cap Crossroads,0
House of Mercy,G DSM Partnership/ Cap Crossroads,0
