"city departure","city arrival","number passengers 1990","number passengers 1995","number passengers 2000","number passengers 2005","number passengers 2010"
"Freeport,The Bahamas","New York,NY",4150,0,11450,3189,6005
"Freeport,The Bahamas","Chicago,IL",5426,7843,203,0,0
"Freeport,The Bahamas","Miami,FL",73180,35005,56362,45782,53526
"Freeport,The Bahamas","Norfolk,VA",296,0,0,0,0
"Freeport,The Bahamas","Pittsburgh,PA",255,505,4622,234,0
"Freeport,The Bahamas","Rochester,NY",111,60,0,0,0
"Freeport,The Bahamas","St. Louis,MO",4961,0,0,0,0
"Frankfurt,West Germany","Atlanta,GA",93930,0,0,0,0
"Frankfurt,West Germany","Boston,MA",90189,0,0,0,0
"Frankfurt,West Germany","Baltimore,MD",11167,0,0,0,0
"Frankfurt,West Germany","Cincinnati,OH",37292,0,0,0,0
"Frankfurt,West Germany","Dallas/Fort Worth,TX",110649,0,0,0,0
"Frankfurt,West Germany","Detroit,MI",53079,0,0,0,0
"Frankfurt,West Germany","Fort Lauderdale,FL",5884,0,0,0,0
"Frankfurt,West Germany","Honolulu,HI",1758,0,0,0,0
"Frankfurt,West Germany","Washington,DC",132287,0,0,0,0
"Frankfurt,West Germany","Houston,TX",16564,0,0,0,0
"Frankfurt,West Germany","New York,NY",345558,0,0,0,0
"Frankfurt,West Germany","Los Angeles,CA",79086,0,0,0,0
"Frankfurt,West Germany","Orlando,FL",25111,0,0,0,0
"Frankfurt,West Germany","Miami,FL",62824,0,0,0,0
"Frankfurt,West Germany","Milwaukee,WI",1948,0,0,0,0
"Frankfurt,West Germany","Minneapolis,MN",24982,0,0,0,0
"Frankfurt,West Germany","Chicago,IL",131602,0,0,0,0
"Frankfurt,West Germany","Philadelphia,PA",21509,0,0,0,0
"Frankfurt,West Germany","San Diego,CA",163,0,0,0,0
"Frankfurt,West Germany","San Francisco,CA",69966,0,0,0,0
"Frankfurt,West Germany","San Juan,PR",10240,0,0,0,0
"Frankfurt,West Germany","St. Louis,MO",5764,0,0,0,0
"Frankfurt,West Germany","Tampa,FL",6425,0,0,0,0
"Sioux Falls,SD","Winnipeg,Canada",1,6,14,0,0
"Fukuoka,Japan","Guam,TT",40053,57026,59701,39370,32898
"Fukuoka,Japan","Saipan,TT",14398,9127,817,662,0
"Fort Wayne,IN","Nassau,The Bahamas",344,0,106,121,169
"Grand Cayman,Cayman Islands","Baltimore,MD",3968,3151,45,0,0
"Grand Cayman,Cayman Islands","Detroit,MI",10124,3055,10704,1589,2059
"Grand Cayman,Cayman Islands","Memphis,TN",7516,16249,0,0,0
"Grand Cayman,Cayman Islands","Miami,FL",106761,190545,187914,107848,157133
"Grand Cayman,Cayman Islands","Chicago,IL",4922,2430,2259,2034,2854
"Grand Cayman,Cayman Islands","St. Louis,MO",110,29,0,0,0
"Guadalajara,Mexico","Cincinnati,OH",85,0,0,0,0
"Guadalajara,Mexico","Dallas/Fort Worth,TX",48600,54045,89401,79695,59622
"Guadalajara,Mexico","Newark,NJ",14,227,0,0,0
"Guadalajara,Mexico","Houston,TX",38483,43830,83930,87213,104577
"Guadalajara,Mexico","Los Angeles,CA",252408,236428,366449,390186,359567
"Guadalajara,Mexico","New Orleans,LA",91,0,0,0,0
"Guadalajara,Mexico","Chicago,IL",41410,41372,78444,104466,43101
"Guadalajara,Mexico","Phoenix,AZ",888,0,6565,44891,82900
"Guadalajara,Mexico","San Antonio,TX",10695,258,0,52,0
"Guadalajara,Mexico","San Francisco,CA",76546,71712,77511,26086,22784
"Grand Turk,Turks and Caicos Islands","Miami,FL",7112,0,112,0,0
"Spokane,WA","Vancouver,Canada",6701,2604,25,0,5
"Spokane,WA","Calgary,Canada",23567,4514,0,0,38
"Oslo,Norway","Miami,FL",11140,0,0,0,0
"Georgetown,Guyana","New York,NY",24239,52400,53141,50626,86323
"Georgetown,Guyana","Miami,FL",3210,13454,13052,13621,8530
"Governors Harbour,The Bahamas","New York,NY",4585,2351,0,0,0
"Governors Harbour,The Bahamas","Miami,FL",4756,79,6831,14,930
"Rio de Janeiro,Brazil","New York,NY",122785,74129,66372,27620,64821
"Rio de Janeiro,Brazil","Los Angeles,CA",22868,10491,7369,6261,0
"Rio de Janeiro,Brazil","Orlando,FL",5430,18851,7248,0,284
"Rio de Janeiro,Brazil","Miami,FL",157181,129944,132769,85705,150966
"Rio de Janeiro,Brazil","San Juan,PR",1546,25,1,0,0
"Glasgow,United Kingdom","Orlando,FL",15063,42467,15374,0,7447
"Grenada,Grenada","New York,NY",7357,3124,8958,10976,11880
"Grenada,Grenada","Miami,FL",9196,7604,10974,61,16594
"Genoa,Italy","New York,NY",309,0,0,0,0
"Gothenburg,Sweden","Fort Lauderdale,FL",1772,0,0,0,0
"Gothenburg,Sweden","Miami,FL",2505,0,0,0,0
"Green Bay,WI","Grand Cayman,Cayman Islands",49,17,0,0,0
"Green Bay,WI","Montreal,Canada",72,46,9,45,42
"Sao Paulo,Brazil","New York,NY",44807,177228,153071,140796,252415
"Sao Paulo,Brazil","Los Angeles,CA",2389,66996,69630,21417,21236
"Sao Paulo,Brazil","Orlando,FL",20608,41637,45627,0,70316
"Sao Paulo,Brazil","Miami,FL",60703,282080,334220,338183,361107
"Greensboro/High Point,NC","Freeport,The Bahamas",363,0,0,0,0
"Greensboro/High Point,NC","Montreal,Canada",29,0,50,0,0
"Guatemala City,Guatemala","Houston,TX",34690,43491,83589,80206,111398
"Guatemala City,Guatemala","New York,NY",9113,11191,4216,25744,0
"Guatemala City,Guatemala","Los Angeles,CA",67115,87338,67295,88368,91302
"Guatemala City,Guatemala","Miami,FL",110531,139662,145366,121384,142806
"Guatemala City,Guatemala","New Orleans,LA",3854,73,78,83,0
"Guatemala City,Guatemala","San Francisco,CA",372,3082,869,1861,0
"Guam,TT","Brisbane,Australia",10393,0,537,0,0
"Guam,TT","Denpasar,Indonesia",23212,24267,23998,11841,0
"Guam,TT","Fukuoka,Japan",43118,53726,59179,39759,33315
"Guam,TT","Nauru,Nauru",372,819,1472,0,0
"Guam,TT","Kosrae,Federated States of Micronesia",756,1311,1121,960,1229
"Guam,TT","Kwajalein,Marshall Islands",476,570,790,879,836
"Guam,TT","Majuro,Marshall Islands",1739,2145,2588,4350,3602
"Guam,TT","Manila,Philippines",35389,46201,61290,66820,85804
"Guam,TT","Nagoya,Japan",96816,196320,176245,137097,110141
"Guam,TT","Tokyo,Japan",441847,432645,452136,520052,533261
"Guam,TT","Okinawa,Japan",14159,17962,0,0,0
"Guam,TT","Osaka,Japan",73719,304737,358379,201333,204710
"Guam,TT","Pohnpei,Federated States of Micronesia",10412,12914,6892,8856,9627
"Guam,TT","Port Moresby,Papua New Guinea",2764,0,0,0,0
"Guam,TT","Seoul,South Korea",12146,141905,89829,105319,126725
"Guam,TT","Sydney,Australia",11960,9774,405,0,0
"Guam,TT","Chuuk,Federated States of Micronesia",13995,15828,12937,10024,10078
"Guam,TT","Yap,Federated States of Micronesia",4728,6057,5376,5236,5910
"Geneva,Switzerland","Anchorage,AK",102,0,0,0,0
"Geneva,Switzerland","Washington,DC",4514,14966,0,3,44766
"Geneva,Switzerland","New York,NY",52935,68719,57479,53411,66582
"Geneva,Switzerland","Los Angeles,CA",15224,8512,0,0,1
"Guayaquil,Ecuador","New York,NY",8126,29765,25463,66607,124148
"Guayaquil,Ecuador","Miami,FL",53413,72252,63020,93964,95790
"Guaymas,Mexico","Tucson,AZ",15541,10253,0,13,0
"Hamburg,West Germany","Atlanta,GA",9137,0,0,0,0
"Hamburg,West Germany","Dallas/Fort Worth,TX",202,0,0,0,0
"Hamburg,West Germany","New York,NY",14514,0,0,0,0
"Hamburg,West Germany","Miami,FL",4450,0,0,0,0
"Hamburg,West Germany","Phoenix,AZ",2,0,0,0,0
"Havana,Cuba","Miami,FL",47821,35028,82707,63832,198482
"Hobart,Australia","Los Angeles,CA",62,0,0,0,0
"Helsinki,Finland","New York,NY",71676,111802,87978,72273,73337
"Helsinki,Finland","Los Angeles,CA",16238,0,0,0,5
"Helsinki,Finland","Miami,FL",18642,14705,0,7985,2236
"Hong Kong,Hong Kong","Dallas/Fort Worth,TX",89,0,0,0,0
"Hong Kong,Hong Kong","New York,NY",18119,13916,87318,132618,236688
"Hong Kong,Hong Kong","Los Angeles,CA",28590,253530,255628,261413,237120
"Hong Kong,Hong Kong","Chicago,IL",1169,0,93658,118796,100437
"Hong Kong,Hong Kong","Seattle,WA",89505,41444,0,0,2344
"Hong Kong,Hong Kong","San Francisco,CA",209554,260431,249265,271378,392589
"Hermosillo,Mexico","Tucson,AZ",13395,4543,4142,5955,103
"Tokyo,Japan","Honolulu,HI",1066693,1189527,936180,922794,887592
"Honolulu,HI","Adelaide,Australia",678,427,0,0,0
"Honolulu,HI","Auckland,New Zealand",118420,43873,34970,26182,24244
"Honolulu,HI","Apia,Samoa",813,4477,2440,4362,1556
"Honolulu,HI","Akita,Japan",363,0,0,243,0
"Honolulu,HI","Biak,Indonesia",225,0,0,0,0
"Honolulu,HI","Bangkok,Thailand",2723,0,0,0,0
"Honolulu,HI","Brisbane,Australia",6169,1784,0,0,0
"Honolulu,HI","Jakarta,Indonesia",1421,4017,0,0,0
"Honolulu,HI","Cairns,Australia",23419,428,171,0,0
"Honolulu,HI","Sapporo,Japan",1685,56899,70196,4807,3028
"Honolulu,HI","Christmas Island,Kiribati",2211,82,1456,0,439
"Honolulu,HI","Denpasar,Indonesia",2520,4502,0,0,0
"Honolulu,HI","Frankfurt,West Germany",5353,0,0,0,0
"Honolulu,HI","Fukuoka,Japan",1000,145662,117175,60707,3486
"Honolulu,HI","Hong Kong,Hong Kong",3520,29,0,0,264
"Honolulu,HI","Tokyo,Japan",1123903,1220374,1001743,975976,923205
"Honolulu,HI","Kumamoto,Japan",740,577,858,819,351
"Honolulu,HI","Kosrae,Federated States of Micronesia",575,754,788,856,1119
"Honolulu,HI","Kuala Lumpur,Malaysia",2396,0,0,0,0
"Honolulu,HI","Kwajalein,Marshall Islands",5515,4892,4042,6122,3917
"Honolulu,HI","London,United Kingdom",14960,1291,14046,6131,819
"Honolulu,HI","Majuro,Marshall Islands",4882,5814,6303,6019,5288
"Honolulu,HI","Melbourne,Australia",45274,18737,0,0,0
"Honolulu,HI","Manila,Philippines",23489,23824,19285,29051,76937
"Honolulu,HI","Nadi,Fiji",24066,14832,14823,9240,7668
"Honolulu,HI","Nagoya,Japan",64432,200534,220480,168549,117305
"Honolulu,HI","Okinawa,Japan",1170,363,1776,0,0
"Honolulu,HI","Osaka,Japan",392017,464838,422017,381498,236441
"Honolulu,HI","Perth,Australia",821,59,0,0,0
"Honolulu,HI","Pohnpei,Federated States of Micronesia",1881,2224,1856,2589,3017
"Honolulu,HI","Papeete,French Polynesia",14593,10813,12435,9518,7781
"Honolulu,HI","Avarua,Cook Islands",3655,3661,2493,0,0
"Honolulu,HI","Seoul,South Korea",146073,170914,94671,49772,108962
"Honolulu,HI","Singapore,Singapore",7642,8,2,0,0
"Honolulu,HI","Sydney,Australia",156117,72783,97107,107565,122196
"Honolulu,HI","Chuuk,Federated States of Micronesia",943,1022,1480,2233,1814
"Honolulu,HI","Taipei,Taiwan",22899,75720,54782,49930,25425
"Honolulu,HI","Edmonton,Canada",11347,918,2787,0,0
"Honolulu,HI","Vancouver,Canada",127809,149044,128999,110822,111054
"Honolulu,HI","Winnipeg,Canada",7491,2821,1443,0,0
"Honolulu,HI","Calgary,Canada",17692,7963,17320,552,9929
"Honolulu,HI","Toronto,Canada",30483,42543,44939,336,56
"Houston,TX","Grand Cayman,Cayman Islands",1618,13388,13551,9645,25005
"Houston,TX","Edmonton,Canada",1468,775,198,19489,37307
"Houston,TX","Calgary,Canada",8382,11955,88077,104704,153075
"Harlingen/San Benito,TX","Toronto,Canada",44,0,0,0,0
"Huntsville,AL","Ottawa,Canada",10,0,0,2,62
"Santa Cruz/Huatulco,Mexico","Houston,TX",116,501,0,3530,6757
"Santa Cruz/Huatulco,Mexico","New York,NY",2071,2237,2868,0,0
"Santa Cruz/Huatulco,Mexico","Los Angeles,CA",2958,89,0,0,0
"Santa Cruz/Huatulco,Mexico","Chicago,IL",2322,4226,5436,3193,3506
"Washington,DC","Caracas,Venezuela",875,844,53,158,0
"Washington,DC","Paris,France",93330,144644,275632,264613,231932
"Washington,DC","Cancun,Mexico",30035,6532,9110,42300,63195
"Washington,DC","Dhahran,Saudi Arabia",163,476,0,0,0
"Washington,DC","Frankfurt,West Germany",135910,0,0,0,0
"Washington,DC","Geneva,Switzerland",5159,14118,0,94,45369
"Washington,DC","Jeddah,Saudi Arabia",2376,3281,4793,3958,10111
"Washington,DC","London,United Kingdom",201758,326008,502040,507661,445547
"Washington,DC","Mexico City,Mexico",15324,27176,32502,41799,32654
"Washington,DC","Marseille,France",58,0,0,0,0
"Washington,DC","Mazatlan,Mexico",2184,0,0,0,0
"Washington,DC","Nassau,The Bahamas",3483,754,156,24450,25117
"Washington,DC","Tokyo,Japan",70889,55948,83342,67916,125956
"Washington,DC","Riyadh,Saudi Arabia",3120,5842,8142,2845,10252
"Washington,DC","Santo Domingo,Dominican Republic",191,0,0,696,218
"Washington,DC","Seoul,South Korea",1866,4760,44045,56327,72030
"Washington,DC","Moscow,U.S.S.R.",13345,0,0,0,0
"Washington,DC","Edmonton,Canada",416,74,86,49,15
"Washington,DC","Vancouver,Canada",17,1017,13191,330,718
"Houston,TX","Acapulco,Mexico",28915,29314,38829,44376,31024
"Houston,TX","Amsterdam,Netherlands",53825,76753,89059,188541,143384
"Houston,TX","Aruba,Aruba",4868,0,8059,10339,6730
"Houston,TX","Belize City,Belize",46418,38755,72065,74380,64888
"Houston,TX","Caracas,Venezuela",8314,1981,30727,31456,40361
"Houston,TX","Paris,France",16955,94861,153228,160194,135437
"Houston,TX","Cancun,Mexico",126706,146627,209052,229025,329145
"Houston,TX","Cozumel,Mexico",36372,51319,62071,52122,69392
"Houston,TX","Frankfurt,West Germany",14746,0,0,0,0
"Houston,TX","Guadalajara,Mexico",29528,48822,88395,89679,107710
"Houston,TX","Guatemala City,Guatemala",31052,39750,86162,84090,115486
"Houston,TX","London,United Kingdom",138319,136145,238772,243186,262673
"Houston,TX","Montego Bay,Jamaica",4657,4860,8548,22450,21196
"Houston,TX","Mexico City,Mexico",188953,230378,314320,320807,308249
"Houston,TX","Monterrey,Mexico",68266,65755,104272,136668,133745
"Houston,TX","Tokyo,Japan",2101,0,68300,75463,84452
"Houston,TX","Puerto Vallarta,Mexico",40014,37690,64047,88219,86532
"Houston,TX","San Salvador,El Salvador",19707,47795,96366,89046,109747
"Houston,TX","San Pedro Sula,Honduras",316,18061,40320,42756,41068
"Houston,TX","Tegucigalpa,Honduras",18425,14710,32002,32215,33186
"Houston,TX","Montreal,Canada",3317,5082,848,852,16927
"Houston,TX","Toronto,Canada",15794,51729,104306,96605,104056
"Houston,TX","Ixtapa/Zihuatanejo,Mexico",8547,835,15212,23205,23485
"Indianapolis,IN","Acapulco,Mexico",274,87,420,1053,326
"Indianapolis,IN","Cancun,Mexico",6744,10685,19525,8273,6363
"Indianapolis,IN","Cozumel,Mexico",392,145,764,314,0
"Indianapolis,IN","Freeport,The Bahamas",2802,543,26,0,0
"Indianapolis,IN","Guatemala City,Guatemala",122,0,0,0,0
"Indianapolis,IN","Santa Cruz/Huatulco,Mexico",163,0,167,0,80
"Indianapolis,IN","Montego Bay,Jamaica",2033,4248,760,338,0
"Indianapolis,IN","St. Kitts,Saint Kitts and Nevis",782,0,330,254,0
"Indianapolis,IN","Philipsburg,Netherlands Antilles",805,643,953,285,0
"Indianapolis,IN","Montreal,Canada",772,968,592,423,10
"Indianapolis,IN","Vancouver,Canada",275,234,478,85,1
"Indianapolis,IN","Winnipeg,Canada",45,24,28,42,21
"Indianapolis,IN","Toronto,Canada",1610,35,548,11467,12134
"Indianapolis,IN","Ixtapa/Zihuatanejo,Mexico",325,557,530,312,0
"Nauru,Nauru","Guam,TT",553,935,1465,0,0
"Iquitos,Peru","Miami,FL",1084,4376,140,118,117
"Islamabad,Pakistan","New York,NY",8560,10794,13979,9531,0
"Istanbul,Turkey","New York,NY",26529,62928,139629,131009,166052
"Jacksonville,FL","Paris,France",153,0,0,0,0
"Jacksonville,FL","Ottawa,Canada",54,0,0,0,0
"Jacksonville,FL","Toronto,Canada",189,147,254,147,185
"Jacksonville,FL","Zurich,Switzerland",14,0,0,0,1
"Jeddah,Saudi Arabia","Washington,DC",1987,3066,5004,3960,13139
"Jeddah,Saudi Arabia","New York,NY",18937,15365,19960,8694,15680
"New York,NY","Abidjan,Cote d'Ivoire",6292,7891,4443,0,0
"New York,NY","Acapulco,Mexico",7024,8194,0,3997,4
"New York,NY","Malaga,Spain",13078,2528,17086,371,14869
"New York,NY","Amman,Jordan",26931,36478,34811,44379,73286
"New York,NY","Amsterdam,Netherlands",239440,269265,251571,240279,252232
