"departure city","long. departure (decimal)","lat. departure (decimal)","departure country","arrival city","long. departure (decimal)","lat. departure (decimal)","arrival country","number of routes","distance"
"Belfast",-5.694,55.095,"United Kingdom","London",-0.103,51.795,"United Kingdom",10,520
"Malaga",-4.166,37.124,"Spain","London",-0.103,51.795,"United Kingdom",10,1662
"London",-0.103,51.795,"United Kingdom","Stockholm",18.531,60.086,"Sweden",10,1473
"Stockholm",18.531,60.086,"Sweden","London",-0.103,51.795,"United Kingdom",10,1473
"Auckland",175.319,-36.347,"New Zealand","Sydney",151.295,-33.911,"Australia",10,2195
"Madrid",-3.278,40.822,"Spain","London",-0.103,51.795,"United Kingdom",10,1243
"London",-0.103,51.795,"United Kingdom","Madrid",-3.278,40.822,"Spain",10,1243
"Moscow",38.51,55.681,"Russia","Krasnodar",39.284,45.057,"Russia",10,1182
"London",-0.103,51.795,"United Kingdom","Edinburgh",-2.955,56.583,"United Kingdom",10,563
"London",-0.103,51.795,"United Kingdom","Amsterdam",5.273,52.514,"Netherlands",10,375
"Krasnodar",39.284,45.057,"Russia","Moscow",38.51,55.681,"Russia",10,1182
"Edinburgh",-2.955,56.583,"United Kingdom","London",-0.103,51.795,"United Kingdom",10,563
"Jakarta",107.093,-5.543,"Indonesia","Kuala Lumpur",102.183,3.242,"Malaysia",10,1118
"Amsterdam",5.273,52.514,"Netherlands","London",-0.103,51.795,"United Kingdom",10,375
"Kigali",30.232,-1.948,"Rwanda","Nairobi",37.545,-0.866,"Kenya",10,821
"Zurich",8.915,47.774,"Switzerland","London",-0.103,51.795,"United Kingdom",10,785
"London",-0.103,51.795,"United Kingdom","Zurich",8.915,47.774,"Switzerland",10,785
"Frankfurt",8.905,50.044,"Germany","London",-0.103,51.795,"United Kingdom",10,660
"Chicago",-87.842,42.631,"United States","Washington",-77.094,39.574,"United States",10,961
"Chicago",-87.842,42.631,"United States","Paris",2.916,49.021,"France",10,6635
"London",-0.103,51.795,"United Kingdom","New York",-73.632,41.066,"United States",10,5512
"Los Angeles",-118.014,34.57,"United States","San Francisco",-121.959,38.031,"United States",10,522
"Los Angeles",-118.014,34.57,"United States","New York",-73.632,41.066,"United States",10,3921
"Doha",51.941,25.435,"Qatar","Bahrain",51.056,26.451,"Bahrain",10,143
"Paris",2.916,49.021,"France","Chicago",-87.842,42.631,"United States",10,6635
"Chicago",-87.842,42.631,"United States","London",-0.103,51.795,"United Kingdom",10,6296
"London",-0.103,51.795,"United Kingdom","Chicago",-87.842,42.631,"United States",10,6296
"London",-0.103,51.795,"United Kingdom","Los Angeles",-118.014,34.57,"United States",10,8676
"Los Angeles",-118.014,34.57,"United States","London",-0.103,51.795,"United Kingdom",10,8676
"Sanya",109.687,18.504,"China","Shanghai",122.342,31.238,"China",10,1903
"Shanghai",122.342,31.238,"China","Kunming",103.239,25.653,"China",10,1965
"Shanghai",122.342,31.238,"China","Guangzhou",113.497,23.654,"China",10,1212
"Shanghai",122.342,31.238,"China","Sanya",109.687,18.504,"China",10,1903
"Shanghai",122.342,31.238,"China","Macau",113.985,22.249,"Macau",10,1298
"Macau",113.985,22.249,"Macau","Shanghai",122.342,31.238,"China",10,1298
"Kunming",103.239,25.653,"China","Shanghai",122.342,31.238,"China",10,1965
"Guangzhou",113.497,23.654,"China","Shanghai",122.342,31.238,"China",10,1212
"Osaka",135.406,34.724,"Japan","Tokyo",140.643,36.274,"Japan",10,504
"Tokyo",140.643,36.274,"Japan","Osaka",135.406,34.724,"Japan",10,504
"Osaka",135.406,34.724,"Japan","Seoul",126.75,37.781,"South Korea",10,846
"Seoul",126.75,37.781,"South Korea","Bangkok",101.245,14.135,"Thailand",10,3637
"Seoul",126.75,37.781,"South Korea","Osaka",135.406,34.724,"Japan",10,846
"Bangkok",101.245,14.135,"Thailand","Seoul",126.75,37.781,"South Korea",10,3637
"St. Petersburg",30.437,60.333,"Russia","Moscow",38.51,55.681,"Russia",10,701
"Singapore",104.657,1.583,"Singapore","Kuala Lumpur",102.183,3.242,"Malaysia",10,331
"Singapore",104.657,1.583,"Singapore","Hong Kong",114.524,22.514,"Hong Kong",10,2559
"Kuala Lumpur",102.183,3.242,"Malaysia","Singapore",104.657,1.583,"Singapore",10,331
"Hong Kong",114.524,22.514,"Hong Kong","Singapore",104.657,1.583,"Singapore",10,2559
"Shanghai",122.342,31.238,"China","Seoul",126.75,37.781,"South Korea",9,831
"Tokyo",140.643,36.274,"Japan","Bangkok",101.245,14.135,"Thailand",9,4617
"Melbourne",145.405,-37.456,"Australia","Sydney",151.295,-33.911,"Australia",9,661
"Bangkok",101.245,14.135,"Thailand","Tokyo",140.643,36.274,"Japan",9,4617
"Guangzhou",113.497,23.654,"China","Bangkok",101.245,14.135,"Thailand",9,1666
"Bangkok",101.245,14.135,"Thailand","Guangzhou",113.497,23.654,"China",9,1666
"Tokyo",140.643,36.274,"Japan","Sapporo",142.153,43.292,"Japan",9,790
"Sapporo",142.153,43.292,"Japan","Tokyo",140.643,36.274,"Japan",9,790
"London",-0.103,51.795,"United Kingdom","Aberdeen",-1.663,57.336,"United Kingdom",9,624
"London",-0.103,51.795,"United Kingdom","Barcelona",2.13,41.495,"Spain",9,1157
"London",-0.103,51.795,"United Kingdom","Malaga",-4.166,37.124,"Spain",9,1662
"Barcelona",2.13,41.495,"Spain","London",-0.103,51.795,"United Kingdom",9,1157
"Aberdeen",-1.663,57.336,"United Kingdom","London",-0.103,51.795,"United Kingdom",9,624
"Sydney",151.295,-33.911,"Australia","Auckland",175.319,-36.347,"New Zealand",9,2195
"Kuala Lumpur",102.183,3.242,"Malaysia","Bangkok",101.245,14.135,"Thailand",9,1215
"Bangkok",101.245,14.135,"Thailand","Kuala Lumpur",102.183,3.242,"Malaysia",9,1215
"London",-0.103,51.795,"United Kingdom","Dublin",-5.784,53.702,"Ireland",9,437
"Kuala Lumpur",102.183,3.242,"Malaysia","Jakarta",107.093,-5.543,"Indonesia",9,1118
"Rio De Janeiro",-42.74,-22.682,"Brazil","Belo Horizonte",-43.949,-19.39,"Brazil",9,386
"Belo Horizonte",-43.949,-19.39,"Brazil","Rio De Janeiro",-42.74,-22.682,"Brazil",9,386
"Bujumbura",29.53,-2.874,"Burundi","Nairobi",37.545,-0.866,"Kenya",9,918
"Munich",12.31,48.589,"Germany","London",-0.103,51.795,"United Kingdom",9,951
"London",-0.103,51.795,"United Kingdom","Munich",12.31,48.589,"Germany",9,951
"Calgary",-113.368,51.189,"Canada","London",-0.103,51.795,"United Kingdom",9,6967
"Sydney",151.295,-33.911,"Australia","Los Angeles",-118.014,34.57,"United States",9,12115
"San Francisco",-121.959,38.031,"United States","Los Angeles",-118.014,34.57,"United States",9,522
"Paris",2.916,49.021,"France","Newark",-73.615,41.154,"United States",9,5813
"Chicago",-87.842,42.631,"United States","Los Angeles",-118.014,34.57,"United States",9,2753
"Minneapolis",-92.703,45.469,"United States","Chicago",-87.842,42.631,"United States",9,500
"London",-0.103,51.795,"United Kingdom","Calgary",-113.368,51.189,"Canada",9,6967
"London",-0.103,51.795,"United Kingdom","Newark",-73.615,41.154,"United States",9,5505
"Los Angeles",-118.014,34.57,"United States","Sydney",151.295,-33.911,"Australia",9,12115
"Las Vegas",-114.588,36.133,"United States","Los Angeles",-118.014,34.57,"United States",9,355
"Honolulu",-157.871,21.531,"United States","Los Angeles",-118.014,34.57,"United States",9,4139
"Newark",-73.615,41.154,"United States","Paris",2.916,49.021,"France",9,5813
"Newark",-73.615,41.154,"United States","London",-0.103,51.795,"United Kingdom",9,5505
"Washington",-77.094,39.574,"United States","Chicago",-87.842,42.631,"United States",9,961
"Curitiba",-48.627,-25.215,"Brazil","Sao Paulo",-46.116,-23.054,"Brazil",9,350
"Auckland",175.319,-36.347,"New Zealand","Melbourne",145.405,-37.456,"Australia",9,2651
"San Francisco",-121.959,38.031,"United States","London",-0.103,51.795,"United Kingdom",9,8548
"London",-0.103,51.795,"United Kingdom","San Francisco",-121.959,38.031,"United States",9,8548
"Nanning",108.287,23.013,"China","Shanghai",122.342,31.238,"China",9,1662
"Delhi",77.171,28.944,"India","Calcutta",88.744,23.091,"India",9,1325
"Calcutta",88.744,23.091,"India","Delhi",77.171,28.944,"India",9,1325
"Urumqi",87.79,44.511,"China","Xi'an",109.252,34.745,"China",9,2125
"Singapore",104.657,1.583,"Singapore","Bangkok",101.245,14.135,"Thailand",9,1445
"Bangkok",101.245,14.135,"Thailand","Singapore",104.657,1.583,"Singapore",9,1445
"Ouagadougou",-1.188,12.588,"Burkina Faso","Cotonou",2.64,6.595,"Benin",9,787
"Cotonou",2.64,6.595,"Benin","Ouagadougou",-1.188,12.588,"Burkina Faso",9,787
"Singapore",104.657,1.583,"Singapore","Denpasar",115.278,-8.581,"Indonesia",8,1631
"Denpasar",115.278,-8.581,"Indonesia","Singapore",104.657,1.583,"Singapore",8,1631
"Sao Paulo",-46.116,-23.054,"Brazil","Curitiba",-48.627,-25.215,"Brazil",8,350
"London",-0.103,51.795,"United Kingdom","Las Palmas",-13.343,29.575,"Spain",8,2701
"London",-0.103,51.795,"United Kingdom","Alicante",-0.264,38.47,"Spain",8,1481
"Alicante",-0.264,38.47,"Spain","London",-0.103,51.795,"United Kingdom",8,1481
"Las Palmas",-13.343,29.575,"Spain","London",-0.103,51.795,"United Kingdom",8,2701
"Istanbul",29.357,41.628,"Turkey","Tehran",51,35,"Iran",8,2020
"Tehran",51,35,"Iran","Istanbul",29.357,41.628,"Turkey",8,2020
"Sao Paulo",-46.116,-23.054,"Brazil","Porto Alegre",-50.62,-29.991,"Brazil",8,891
"Denver",-104.456,40.436,"United States","Washington",-77.094,39.574,"United States",8,2323
"Washington",-77.094,39.574,"United States","Denver",-104.456,40.436,"United States",8,2323
"Xi'an",109.252,34.745,"China","Hangzhou",120.724,30.382,"China",8,1178
"Beijing",116.974,40.133,"China","Urumqi",87.79,44.511,"China",8,2434
"Beijing",116.974,40.133,"China","Seoul",126.75,37.781,"South Korea",8,884
"Beijing",116.974,40.133,"China","Guangzhou",113.497,23.654,"China",8,1861
"Seoul",126.75,37.781,"South Korea","Beijing",116.974,40.133,"China",8,884
"Sharm El Sheikh",34.658,28.628,"Egypt","London",-0.103,51.795,"United Kingdom",8,3854
"London",-0.103,51.795,"United Kingdom","Sharm El Sheikh",34.658,28.628,"Egypt",8,3854
"Okinawa",128.076,26.326,"Japan","Tokyo",140.643,36.274,"Japan",8,1624
"Singapore",104.657,1.583,"Singapore","Brisbane",153.195,-26.974,"Australia",8,6086
"London",-0.103,51.795,"United Kingdom","Manchester",-1.792,53.589,"United Kingdom",8,229
"London",-0.103,51.795,"United Kingdom","Copenhagen",13.093,56.029,"Denmark",8,981
"Copenhagen",13.093,56.029,"Denmark","London",-0.103,51.795,"United Kingdom",8,981
"Brisbane",153.195,-26.974,"Australia","Singapore",104.657,1.583,"Singapore",8,6086
"Washington",-77.094,39.574,"United States","Boston",-70.342,42.607,"United States",8,658
"Boston",-70.342,42.607,"United States","Washington",-77.094,39.574,"United States",8,658
"Portland",-122.33,45.981,"United States","Chicago",-87.842,42.631,"United States",8,2747
"San Francisco",-121.959,38.031,"United States","Seoul",126.75,37.781,"South Korea",8,9039
"Seoul",126.75,37.781,"South Korea","San Francisco",-121.959,38.031,"United States",8,9039
"Kuwait",48.614,29.377,"Kuwait","Bahrain",51.056,26.451,"Bahrain",8,404
"Dublin",-5.784,53.702,"Ireland","London",-0.103,51.795,"United Kingdom",8,437
"Bahrain",51.056,26.451,"Bahrain","Kuwait",48.614,29.377,"Kuwait",8,404
"Vitoria",-39.811,-19.764,"Brazil","Rio De Janeiro",-42.74,-22.682,"Brazil",8,444
"Montreal",-73.569,45.784,"Canada","Toronto",-79.385,44.128,"Canada",8,493
"Toronto",-79.385,44.128,"Canada","Montreal",-73.569,45.784,"Canada",8,493
"Tenerife",-16.288,28.074,"Spain","Gran Canaria",-14.978,28.553,"Spain",8,138
"Palma de Mallorca",3.212,39.922,"Spain","Barcelona",2.13,41.495,"Spain",8,197
"Gran Canaria",-14.978,28.553,"Spain","Tenerife",-16.288,28.074,"Spain",8,138
"Barcelona",2.13,41.495,"Spain","Palma de Mallorca",3.212,39.922,"Spain",8,197
"Toronto",-79.385,44.128,"Canada","London",-0.103,51.795,"United Kingdom",8,5667
"Vancouver",-122.641,49.323,"Canada","London",-0.103,51.795,"United Kingdom",8,7530
"St. Louis",-89.951,39.247,"United States","Chicago",-87.842,42.631,"United States",8,415
"San Jose",-121.882,37.604,"United States","Los Angeles",-118.014,34.57,"United States",8,484
"San Francisco",-121.959,38.031,"United States","Seattle",-121.849,47.748,"United States",8,1080
"San Francisco",-121.959,38.031,"United States","Chicago",-87.842,42.631,"United States",8,2916
"San Francisco",-121.959,38.031,"United States","New York",-73.632,41.066,"United States",8,4104
"Chicago",-87.842,42.631,"United States","St. Louis",-89.951,39.247,"United States",8,415
"Chicago",-87.842,42.631,"United States","Minneapolis",-92.703,45.469,"United States",8,500
"Chicago",-87.842,42.631,"United States","Detroit",-82.923,42.354,"United States",8,404
"Chicago",-87.842,42.631,"United States","Boston",-70.342,42.607,"United States",8,1429
"Mexico City",-98.454,19.727,"Mexico","Los Angeles",-118.014,34.57,"United States",8,2534
"Melbourne",145.405,-37.456,"Australia","Auckland",175.319,-36.347,"New Zealand",8,2651
"London",-0.103,51.795,"United Kingdom","Toronto",-79.385,44.128,"Canada",8,5667
"London",-0.103,51.795,"United Kingdom","Vancouver",-122.641,49.323,"Canada",8,7530
"London",-0.103,51.795,"United Kingdom","Boston",-70.342,42.607,"United States",8,5192
"Los Angeles",-118.014,34.57,"United States","San Jose",-121.882,37.604,"United States",8,484
"Los Angeles",-118.014,34.57,"United States","Chicago",-87.842,42.631,"United States",8,2753
"Los Angeles",-118.014,34.57,"United States","Mexico City",-98.454,19.727,"Mexico",8,2534
"Los Angeles",-118.014,34.57,"United States","Honolulu",-157.871,21.531,"United States",8,4139
"New York",-73.632,41.066,"United States","San Francisco",-121.959,38.031,"United States",8,4104
"New York",-73.632,41.066,"United States","Los Angeles",-118.014,34.57,"United States",8,3921
"Detroit",-82.923,42.354,"United States","Chicago",-87.842,42.631,"United States",8,404
"Boston",-70.342,42.607,"United States","Chicago",-87.842,42.631,"United States",8,1429
"Boston",-70.342,42.607,"United States","London",-0.103,51.795,"United Kingdom",8,5192
"London",-0.103,51.795,"United Kingdom","Larnaca",34.041,35.458,"Cyprus",8,3248
"Larnaca",34.041,35.458,"Cyprus","London",-0.103,51.795,"United Kingdom",8,3248
"San Francisco",-121.959,38.031,"United States","Hong Kong",114.524,22.514,"Hong Kong",8,11069
"London",-0.103,51.795,"United Kingdom","Washington",-77.094,39.574,"United States",8,5844
"Washington",-77.094,39.574,"United States","London",-0.103,51.795,"United Kingdom",8,5844
"Hong Kong",114.524,22.514,"Hong Kong","San Francisco",-121.959,38.031,"United States",8,11069
"Douala",10.199,4.01,"Cameroon","Bangui",18.864,4.664,"Central African Republic",8,963
"Bangui",18.864,4.664,"Central African Republic","Douala",10.199,4.01,"Cameroon",8,963
"Xiamen",118.212,24.906,"China","Shanghai",122.342,31.238,"China",8,812
"Tianjin",117.576,39.207,"China","Shanghai",122.342,31.238,"China",8,985
"Shenyang",123.483,41.637,"China","Shanghai",122.342,31.238,"China",8,1160
"Shanghai",122.342,31.238,"China","Tianjin",117.576,39.207,"China",8,985
"Shanghai",122.342,31.238,"China","Changcha",113.366,28.315,"China",8,924
"Shanghai",122.342,31.238,"China","Xiamen",118.212,24.906,"China",8,812
"Shanghai",122.342,31.238,"China","Shenyang",123.483,41.637,"China",8,1160
"Shanghai",122.342,31.238,"China","Nanning",108.287,23.013,"China",8,1662
"Guiyang",107.334,26.897,"China","Shanghai",122.342,31.238,"China",8,1534
"Ufa",56.457,54.929,"Russia","Moscow",38.51,55.681,"Russia",8,1135
"Moscow",38.51,55.681,"Russia","Kiev",31.491,50.575,"Ukraine",8,735
"Kiev",31.491,50.575,"Ukraine","Moscow",38.51,55.681,"Russia",8,735
"Seoul",126.75,37.781,"South Korea","Cheju",126.821,33.852,"South Korea",8,436
"Cheju",126.821,33.852,"South Korea","Seoul",126.75,37.781,"South Korea",8,436
"Delhi",77.171,28.944,"India","Bombay",73.446,19.147,"India",8,1152
"Delhi",77.171,28.944,"India","Bangalore",78.113,13.583,"India",8,1710
"Bombay",73.446,19.147,"India","Delhi",77.171,28.944,"India",8,1152
"Bombay",73.446,19.147,"India","Ahmedabad",73.057,23.128,"India",8,444
"Bangalore",78.113,13.583,"India","Delhi",77.171,28.944,"India",8,1710
"Xi'an",109.252,34.745,"China","Urumqi",87.79,44.511,"China",8,2125
"Wuhan",114.346,31.306,"China","Chongqing",107.069,30.198,"China",8,706
"Beijing",116.974,40.133,"China","Chengdu",104.578,30.964,"China",8,1512
"Kunming",103.239,25.653,"China","Chengdu",104.578,30.964,"China",8,604
"Chengdu",104.578,30.964,"China","Beijing",116.974,40.133,"China",8,1512
"Chengdu",104.578,30.964,"China","Kunming",103.239,25.653,"China",8,604
"Chongqing",107.069,30.198,"China","Wuhan",114.346,31.306,"China",8,706
"Chongqing",107.069,30.198,"China","Guangzhou",113.497,23.654,"China",8,966
"Guangzhou",113.497,23.654,"China","Chongqing",107.069,30.198,"China",8,966
"Sapporo",142.153,43.292,"Japan","Osaka",135.406,34.724,"Japan",7,1116
"Dar Es Salaam",39.337,-6.797,"Tanzania","Nairobi",37.545,-0.866,"Kenya",7,688
"Sao Paulo",-46.116,-23.054,"Brazil","Salvador",-37.886,-12.852,"Brazil",7,1428
"Sao Paulo",-46.116,-23.054,"Brazil","Florianopolis",-48.246,-27.451,"Brazil",7,533
"Cuiaba",-55.528,-15.422,"Brazil","Sao Paulo",-46.116,-23.054,"Brazil",7,1301
"Tenerife",-16.288,28.074,"Spain","Manchester",-1.792,53.589,"United Kingdom",7,3074
"Manchester",-1.792,53.589,"United Kingdom","Tenerife",-16.288,28.074,"Spain",7,3074
"London",-0.103,51.795,"United Kingdom","Gran Canaria",-14.978,28.553,"Spain",7,2864
"Gran Canaria",-14.978,28.553,"Spain","London",-0.103,51.795,"United Kingdom",7,2864
"Ho Chi Minh City",107.086,11.364,"Vietnam","Bangkok",101.245,14.135,"Thailand",7,704
"Bangkok",101.245,14.135,"Thailand","Ho Chi Minh City",107.086,11.364,"Vietnam",7,704
"Okinawa",128.076,26.326,"Japan","Osaka",135.406,34.724,"Japan",7,1167
"Osaka",135.406,34.724,"Japan","Okinawa",128.076,26.326,"Japan",7,1167
"Dubai",55.607,25.421,"United Arab Emirates","Muscat",58.474,23.988,"Oman",7,330
"Monrovia",-9.938,6.389,"Liberia","Accra",0.388,6.008,"Ghana",7,1142
"Porto Alegre",-50.62,-29.991,"Brazil","Sao Paulo",-46.116,-23.054,"Brazil",7,891
"Accra",0.388,6.008,"Ghana","Monrovia",-9.938,6.389,"Liberia",7,1142
"Sydney",151.295,-33.911,"Australia","Christchurch",172.887,-43.149,"New Zealand",7,2131
"Christchurch",172.887,-43.149,"New Zealand","Sydney",151.295,-33.911,"Australia",7,2131
"Shanghai",122.342,31.238,"China","Wuhan",114.346,31.306,"China",7,759
"Kahului",-156.051,21.497,"United States","Kona",-155.41,20.231,"United States",7,155
"Washington",-77.094,39.574,"United States","Charleston",-79.401,33.497,"United States",7,706
"Washington",-77.094,39.574,"United States","Atlanta",-84.047,34.061,"United States",7,870
"Honolulu",-157.871,21.531,"United States","Molokai",-156.494,21.254,"United States",7,145
"Atlanta",-84.047,34.061,"United States","Washington",-77.094,39.574,"United States",7,870
"Xiamen",118.212,24.906,"China","Beijing",116.974,40.133,"China",7,1697
"Xiamen",118.212,24.906,"China","Hefei",117.497,32.3,"China",7,825
"Urumqi",87.79,44.511,"China","Beijing",116.974,40.133,"China",7,2434
"Qingdao",120.624,36.443,"China","Harbin",126.417,46.039,"China",7,1171
"Shanghai",122.342,31.238,"China","Nanchang",116.5,29.441,"China",7,595
"Beijing",116.974,40.133,"China","Xiamen",118.212,24.906,"China",7,1697
"Beijing",116.974,40.133,"China","Lanzhou",104.028,36.195,"China",7,1212
"Beijing",116.974,40.133,"China","Hangzhou",120.724,30.382,"China",7,1136
"Beijing",116.974,40.133,"China","Dalian",121.897,39.609,"China",7,424
"Beijing",116.974,40.133,"China","Changcha",113.366,28.315,"China",7,1354
"Beijing",116.974,40.133,"China","Changchun",125.2,43.902,"China",7,797
"Lanzhou",104.028,36.195,"China","Beijing",116.974,40.133,"China",7,1212
"Kunming",103.239,25.653,"China","Hangzhou",120.724,30.382,"China",7,1792
"Nanchang",116.5,29.441,"China","Shanghai",122.342,31.238,"China",7,595
"Hong Kong",114.524,22.514,"Hong Kong","Hangzhou",120.724,30.382,"China",7,1070
"Hangzhou",120.724,30.382,"China","Xi'an",109.252,34.745,"China",7,1178
"Hangzhou",120.724,30.382,"China","Beijing",116.974,40.133,"China",7,1136
"Hangzhou",120.724,30.382,"China","Hong Kong",114.524,22.514,"Hong Kong",7,1070
"Hangzhou",120.724,30.382,"China","Guangzhou",113.497,23.654,"China",7,1034
"Hefei",117.497,32.3,"China","Xiamen",118.212,24.906,"China",7,825
"Dalian",121.897,39.609,"China","Beijing",116.974,40.133,"China",7,424
"Changcha",113.366,28.315,"China","Beijing",116.974,40.133,"China",7,1354
"Changchun",125.2,43.902,"China","Beijing",116.974,40.133,"China",7,797
"Guangzhou",113.497,23.654,"China","Beijing",116.974,40.133,"China",7,1861
"Guangzhou",113.497,23.654,"China","Hangzhou",120.724,30.382,"China",7,1034
"Busan",129.563,35.299,"South Korea","Seoul",126.75,37.781,"South Korea",7,373
"Seoul",126.75,37.781,"South Korea","Busan",129.563,35.299,"South Korea",7,373
"Haikou",110.764,20.558,"China","Changcha",113.366,28.315,"China",7,901
"Changcha",113.366,28.315,"China","Haikou",110.764,20.558,"China",7,901
